"LANGUAGE","Français","Language name (in native language)."
"LANGUAGE_GAME","Utiliser la langue du jeu","Default selection in language selection menu."
"NOTE_CLOSE","Fermer","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Ne plus afficher","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Conflit entre mods détecté !","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Cela signifie que le mod n'est pas en mesure de fonctionner, et s'est arrêté.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Les mods conflictuels sont :","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Le mod n'a pas pu effectuer les correctifs du mod -librairie- 'Harmony' requis.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Les causes possibles de ce problème comprennent :","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","La dépendance requise du mod Harmony 2 n'a pas été installée","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Un ancien mod et/ou un mod cassé empêche Harmony 2 de fonctionner correctement","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Un autre mod peut essayer d'appliquer un correctif Harmony conflictuel","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Déverrouille toutes les 81 tuiles de la zone de jeu.","Mod description displayed in content manager."
"SET_LANGUAGE","Définir la langue"
"UNLOCK","Débloquer la zone"
"IGNORE_UNLOCK","Ignorer les prérequis pour débloquer les tuiles","Option in options panel - activates option to ignore city milestone progress restrictions on the number of game area tiles."
"IGNORE_UNLOCK_TIP","Quand cette option est activée, vous pourrez à tout moment acheter de nouvelles tuiles de jeu, en ignorant tout palier de progression de la ville.","Tooltip in options panel."
"UNLOCK_25","Débloquer la zone centrale de 25 tuiles","Button in options panel - unlocks 25-tile area"
"UNLOCK_ALL","Débloquer toutes les zones","Button in options panel - unlocks all game areas"
"NET_OPTIONS","Réseaux de transmission","Option header in options panel."
"NO_POWERLINES","Activer le transport d'électricité sans lignes électriques","Option in options panel - activates 'no powerlines' functionality."
"NO_POWERLINES_TIP","Lorsque cette option est activée, les bâtiments n'ont plus besoin d'être connectés avec des lignes électriques (vous devrez toujours produire de l'électricité).","Tooltip in options panel."
"ELECTRIC_ROADS","Activer le transport d'électricité le long des routes","Option in options panel - activates 'electric roads' functionality."
"ELECTRIC_ROADS_TIP","Lorsque cette option est activée, les routes conduiront l'électricité comme si elles étaient des lignes électriques.","Tooltip in options panel."
"NO_PIPES","Activer l'évacuation de l'eau, des eaux usées et du chauffage sans conduits","Option in options panel - activates 'no no pipes' functionality."
"NO_PIPES_TIP","Lorsque cette option est activée, les bâtiments n'ont plus besoin d'être connectés avec des tuyaux ou des conduites de chauffage (vous devrez toujours assurer le traitement de l'eau et des eaux usées, et les installations de chauffage si désiré).","Tooltip in options panel."
"RESCUE_OPTIONS","Options de récupération d'urgence - UTILISER AVEC PRUDENCE","Option header in options panel."
"IGNORE_EXPANDED","Ignorer les donnees de l'espace etendu de 81 Tiles lors du prochain chargement."
"IGNORE_EXPANDED_TIP","Utilisez cette option comme option de secours si vous rencontrez des problèmes lors du chargement des parties sauvegardées par les mods 81 tiles antérieurs (en particulier tout problème avec les quartiers ou les zones qui disparaissent).
AVERTISSEMENT : utiliser cette option provoquera une malformation des zones situées en dehors de la zone centrale de 25 tuiles.
Cette option sera automatiquement désactivée une fois la prochaine charge de la ville terminée.","Tooltip in options panel."
"LOAD_DISABLED","Le bouton Charger le jeu a été désactivé par le mod 81 Tiles pour protéger votre fichier de sauvegarde contre la corruption. Utilisez le bouton Quitter le jeu et relancez complètement le jeu avant de charger un fichier de sauvegarde ou de démarrer une nouvelle ville.","Tooltip on 'load game' button when in-game."
"MAIN_MENU_DISABLED","Le bouton ""Quitter vers le menu principal"" a été désactivé par le mod 81 tiles pour protéger votre fichier de sauvegarde contre la corruption. Utilisez le bouton Quitter le jeu et relancez complètement le jeu avant de charger un fichier de sauvegarde ou de démarrer une nouvelle ville.","Tooltip on 'exit to main menu' button when in-game."
"EDITOR_DISABLED","Le bouton Outils d'édition a été désactivé car le mod 81 Tiles est actif. Pour utiliser les éditeurs, veuillez désactiver le mod 81 Tiles et redémarrer le jeu.","Tooltip on disabled editor button in main menu."
